stage,stage_name,configuration,trial,success,grasp_step,handover_step,place_step,completion_s,failure_mode,dropped,object_impacts,joint_limit_violations,final_tilt_deg,final_hand_clearance_m,control_hz
A,Original Dex-hand task (Dex3),Square stick 3.0 x 24 cm,0,0,122,396,554,27.7,moved after placing,0,6,0,89.99997883597521,0.25119841978380303,4.498134718306292
A,Original Dex-hand task (Dex3),Square stick 3.0 x 24 cm,1,0,,,,,no grasp,0,1,0,89.99997330403895,0.1343832277518366,4.296551046764392
A,Original Dex-hand task (Dex3),Square stick 3.0 x 24 cm,2,0,117,,,,handover not completed,0,7,0,89.99996890408111,0.26978306549154824,4.636354705058478
A,Original Dex-hand task (Dex3),Square stick 3.0 x 24 cm,3,0,138,,,,handover not completed,0,6,0,89.99995699725203,0.22637792083605818,4.4107313778969806
A,Original Dex-hand task (Dex3),Square stick 3.0 x 24 cm,4,0,,,,,no grasp,0,1,0,89.99996547486546,0.18608898809857627,4.647612470164753
A,Original Dex-hand task (Dex3),Square stick 3.0 x 24 cm,5,0,121,414,544,27.2,dropped after handover,1,5,0,89.99998854826055,0.23757906266410544,4.608625381480968
A,Original Dex-hand task (Dex3),Square stick 3.0 x 24 cm,6,0,,,,,no grasp,0,2,0,89.99998440255527,0.3188354925609326,4.782532782301566
A,Original Dex-hand task (Dex3),Square stick 3.0 x 24 cm,7,0,,,,,no grasp,0,3,0,89.99997224663679,0.16833940820391569,4.780024209993989
A,Original Dex-hand task (Dex3),Square stick 3.0 x 24 cm,8,0,,,,,no grasp,0,1,0,89.99996219587514,0.15362576943094336,4.749483454411824
A,Original Dex-hand task (Dex3),Square stick 3.0 x 24 cm,9,0,135,424,572,28.6,dropped after handover,1,4,0,0.01434163571912986,0.202787706666141,4.583782520559801
A,Original Dex-hand task (Dex3),Square stick 3.0 x 22 cm,0,0,126,409,496,24.8,dropped after handover,1,5,0,7.0306674548207235,0.026696441246365277,4.762331692222587
A,Original Dex-hand task (Dex3),Square stick 3.0 x 22 cm,1,0,123,437,580,29.0,moved after placing,0,14,0,89.99993848904597,0.2571476225409155,4.809818047747595
A,Original Dex-hand task (Dex3),Square stick 3.0 x 22 cm,2,0,150,,,,dropped before handover,1,9,0,89.99996266562384,1.076504972140334,4.968140342731269
A,Original Dex-hand task (Dex3),Square stick 3.0 x 22 cm,3,1,164,454,556,27.8,success,0,26,0,89.99997274140283,0.19088881303581073,4.9747630631460895
A,Original Dex-hand task (Dex3),Square stick 3.0 x 22 cm,4,1,139,394,488,24.4,success,0,11,0,0.010078929353287911,0.09606589079473427,4.837861146993214
A,Original Dex-hand task (Dex3),Square stick 3.0 x 22 cm,5,1,164,427,569,28.45,success,0,3,0,0.006178025747691578,0.17711177657355065,4.88858346277625
